antecedents_str,consequents_str,rule_str,support,confidence,lift,strength
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0273,0.7004,18.3718,Very Strong
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER",0.0273,0.7152,18.3718,Very Strong
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0273,0.5576,18.2427,Very Strong
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER",0.0273,0.8921,18.2427,Very Strong
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG  →  STRAWBERRY CHARLOTTE BAG",0.011,0.6402,18.0486,Very Strong
STRAWBERRY CHARLOTTE BAG,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",0.011,0.3107,18.0486,Very Strong
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG  →  CHARLOTTE BAG PINK POLKADOT",0.0104,0.6028,17.887,Very Strong
CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT  →  RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",0.0104,0.3079,17.887,Very Strong
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER","GREEN REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0184,0.3766,17.8054,Very Strong
"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER  →  GREEN REGENCY TEACUP AND SAUCER",0.0184,0.8707,17.8054,Very Strong
"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG  →  STRAWBERRY CHARLOTTE BAG",0.0101,0.625,17.6205,Very Strong
CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT  →  RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",0.0127,0.3771,17.5593,Very Strong
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG  →  CHARLOTTE BAG PINK POLKADOT",0.0127,0.5918,17.5593,Very Strong
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG  →  WOODLAND CHARLOTTE BAG",0.0114,0.5358,17.4861,Very Strong
WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG  →  CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",0.0114,0.3727,17.4861,Very Strong
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG  →  CHARLOTTE BAG PINK POLKADOT",0.0125,0.5849,17.3559,Very Strong
CHARLOTTE BAG PINK POLKADOT,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT  →  CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",0.0125,0.3699,17.3559,Very Strong
"HAND WARMER OWL DESIGN, HAND WARMER RED LOVE HEART",HAND WARMER SCOTTY DOG DESIGN,"HAND WARMER OWL DESIGN, HAND WARMER RED LOVE HEART  →  HAND WARMER SCOTTY DOG DESIGN",0.0101,0.6332,17.3014,Very Strong
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG  →  STRAWBERRY CHARLOTTE BAG",0.013,0.6113,17.2348,Very Strong
STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG  →  CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",0.013,0.3673,17.2348,Very Strong
"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN",HAND WARMER SCOTTY DOG DESIGN,"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN  →  HAND WARMER SCOTTY DOG DESIGN",0.0129,0.624,17.0518,Very Strong
HAND WARMER SCOTTY DOG DESIGN,"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN","HAND WARMER SCOTTY DOG DESIGN  →  HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN",0.0129,0.3538,17.0518,Very Strong
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER,0.0324,0.8326,17.0268,Very Strong
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER,0.0324,0.6628,17.0268,Very Strong
IVORY DINER WALL CLOCK,RED DINER WALL CLOCK,IVORY DINER WALL CLOCK  →  RED DINER WALL CLOCK,0.0142,0.5028,16.9426,Very Strong
RED DINER WALL CLOCK,IVORY DINER WALL CLOCK,RED DINER WALL CLOCK  →  IVORY DINER WALL CLOCK,0.0142,0.4797,16.9426,Very Strong
"STRAWBERRY CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",CHARLOTTE BAG SUKI DESIGN,"STRAWBERRY CHARLOTTE BAG, WOODLAND CHARLOTTE BAG  →  CHARLOTTE BAG SUKI DESIGN",0.0101,0.6868,16.9092,Very Strong
"CHARLOTTE BAG PINK POLKADOT, STRAWBERRY CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, STRAWBERRY CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG",0.0127,0.8229,16.8834,Very Strong
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG  →  WOODLAND CHARLOTTE BAG",0.011,0.5131,16.744,Very Strong
WOODLAND CHARLOTTE BAG,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG","WOODLAND CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",0.011,0.3596,16.744,Very Strong
"CHARLOTTE BAG PINK POLKADOT, WOODLAND CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, WOODLAND CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG",0.0104,0.8113,16.6455,Very Strong
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX  →  DOLLY GIRL LUNCH BOX,0.0252,0.6235,16.6353,Very Strong
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX  →  SPACEBOY LUNCH BOX,0.0252,0.6717,16.6353,Very Strong
"HAND WARMER RED LOVE HEART, HAND WARMER SCOTTY DOG DESIGN",HAND WARMER OWL DESIGN,"HAND WARMER RED LOVE HEART, HAND WARMER SCOTTY DOG DESIGN  →  HAND WARMER OWL DESIGN",0.0101,0.7159,16.4223,Very Strong
PINK REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER  →  REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",0.0179,0.4607,16.4138,Very Strong
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER",0.0179,0.639,16.4138,Very Strong
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",CHARLOTTE BAG SUKI DESIGN,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG  →  CHARLOTTE BAG SUKI DESIGN",0.0114,0.6636,16.3365,Very Strong
CHILDRENS APRON SPACEBOY DESIGN,PINK FAIRY CAKE CHILDRENS APRON,CHILDRENS APRON SPACEBOY DESIGN  →  PINK FAIRY CAKE CHILDRENS APRON,0.0134,0.4575,16.024,Very Strong
PINK FAIRY CAKE CHILDRENS APRON,CHILDRENS APRON SPACEBOY DESIGN,PINK FAIRY CAKE CHILDRENS APRON  →  CHILDRENS APRON SPACEBOY DESIGN,0.0134,0.4704,16.024,Very Strong
"JUMBO BAG PEARS, JUMBO BAG RED RETROSPOT",JUMBO BAG APPLES,"JUMBO BAG PEARS, JUMBO BAG RED RETROSPOT  →  JUMBO BAG APPLES",0.0113,0.7877,16.0026,Very Strong
HAND WARMER BIRD DESIGN,"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN","HAND WARMER BIRD DESIGN  →  HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN",0.0129,0.3546,15.9749,Very Strong
"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN",HAND WARMER BIRD DESIGN,"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN  →  HAND WARMER BIRD DESIGN",0.0129,0.5833,15.9749,Very Strong
"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER  →  ROSES REGENCY TEACUP AND SAUCER",0.0179,0.8479,15.9245,Very Strong
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER","ROSES REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0179,0.3369,15.9245,Very Strong
STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG  →  CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",0.0127,0.3583,15.9088,Very Strong
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG  →  STRAWBERRY CHARLOTTE BAG",0.0127,0.5643,15.9088,Very Strong
"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN",HAND WARMER RED LOVE HEART,"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN  →  HAND WARMER RED LOVE HEART",0.0101,0.4565,15.899,Very Strong
HAND WARMER RED LOVE HEART,"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN","HAND WARMER RED LOVE HEART  →  HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN",0.0101,0.3529,15.899,Very Strong
"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN",RED RETROSPOT CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN  →  RED RETROSPOT CHARLOTTE BAG",0.0125,0.7711,15.8212,Very Strong
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER  →  ROSES REGENCY TEACUP AND SAUCER",0.0273,0.8412,15.7984,Very Strong
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.0273,0.5121,15.7984,Very Strong
"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG",0.013,0.7642,15.6777,Very Strong
"HAND WARMER BIRD DESIGN, HAND WARMER SCOTTY DOG DESIGN",HAND WARMER OWL DESIGN,"HAND WARMER BIRD DESIGN, HAND WARMER SCOTTY DOG DESIGN  →  HAND WARMER OWL DESIGN",0.0129,0.6822,15.6491,Very Strong
"JUMBO BAG PEARS, JUMBO BAG VINTAGE LEAF",JUMBO BAG APPLES,"JUMBO BAG PEARS, JUMBO BAG VINTAGE LEAF  →  JUMBO BAG APPLES",0.0135,0.7671,15.5844,Very Strong
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER  →  ROSES REGENCY TEACUP AND SAUCER",0.0212,0.825,15.4943,Very Strong
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER","ROSES REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0212,0.3988,15.4943,Very Strong
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER",0.0212,0.7564,15.4686,Very Strong
GREEN REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER  →  REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",0.0212,0.4342,15.4686,Very Strong
"STRAWBERRY CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,"STRAWBERRY CHARLOTTE BAG, WOODLAND CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG",0.011,0.7527,15.4437,Very Strong
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX  →  SWEETHEART CERAMIC TRINKET BOX,0.0146,0.4249,15.4011,Very Strong
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX  →  STRAWBERRY CERAMIC TRINKET BOX,0.0146,0.5277,15.4011,Very Strong
"CHOCOLATE HOT WATER BOTTLE, HOT WATER BOTTLE KEEP CALM",HOT WATER BOTTLE TEA AND SYMPATHY,"CHOCOLATE HOT WATER BOTTLE, HOT WATER BOTTLE KEEP CALM  →  HOT WATER BOTTLE TEA AND SYMPATHY",0.0117,0.6017,15.3918,Very Strong
BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX  →  RED  HARMONICA IN BOX,0.018,0.5283,15.2399,Very Strong
RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX  →  BLUE HARMONICA IN BOX,0.018,0.5197,15.2399,Very Strong
IVORY KITCHEN SCALES,RED KITCHEN SCALES,IVORY KITCHEN SCALES  →  RED KITCHEN SCALES,0.0168,0.4239,15.1459,Very Strong
RED KITCHEN SCALES,IVORY KITCHEN SCALES,RED KITCHEN SCALES  →  IVORY KITCHEN SCALES,0.0168,0.6006,15.1459,Very Strong
JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS  →  JUMBO BAG 50'S CHRISTMAS,0.0188,0.6482,15.1202,Very Strong
JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS  →  JUMBO BAG VINTAGE CHRISTMAS,0.0188,0.439,15.1202,Very Strong
WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG  →  CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",0.0104,0.3386,15.0343,Very Strong
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG  →  WOODLAND CHARLOTTE BAG",0.0104,0.4607,15.0343,Very Strong
HAND WARMER UNION JACK,HAND WARMER RED LOVE HEART,HAND WARMER UNION JACK  →  HAND WARMER RED LOVE HEART,0.0145,0.4306,14.997,Very Strong
HAND WARMER RED LOVE HEART,HAND WARMER UNION JACK,HAND WARMER RED LOVE HEART  →  HAND WARMER UNION JACK,0.0145,0.5042,14.997,Very Strong
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",CHARLOTTE BAG SUKI DESIGN,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG  →  CHARLOTTE BAG SUKI DESIGN",0.013,0.6067,14.9379,Very Strong
CHARLOTTE BAG SUKI DESIGN,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN  →  RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",0.013,0.3208,14.9379,Very Strong
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK",ALARM CLOCK BAKELIKE IVORY,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK  →  ALARM CLOCK BAKELIKE IVORY",0.0111,0.5055,14.9283,Very Strong
ALARM CLOCK BAKELIKE IVORY,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK","ALARM CLOCK BAKELIKE IVORY  →  ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK",0.0111,0.3278,14.9283,Very Strong
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER,0.0306,0.574,14.7454,Very Strong
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER  →  ROSES REGENCY TEACUP AND SAUCER,0.0306,0.7851,14.7454,Very Strong
ALARM CLOCK BAKELIKE IVORY,"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE IVORY  →  ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE RED",0.0127,0.3753,14.7195,Very Strong
"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE RED",ALARM CLOCK BAKELIKE IVORY,"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE RED  →  ALARM CLOCK BAKELIKE IVORY",0.0127,0.4984,14.7195,Very Strong
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER  →  ROSES REGENCY TEACUP AND SAUCER,0.0381,0.7796,14.6417,Very Strong
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER,0.0381,0.716,14.6417,Very Strong
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS  →  PLASTERS IN TIN SPACEBOY,0.0142,0.4733,14.637,Very Strong
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SPACEBOY  →  PLASTERS IN TIN WOODLAND ANIMALS,0.0142,0.4403,14.637,Very Strong
"GIN + TONIC DIET METAL SIGN, PLEASE ONE PERSON METAL SIGN",COOK WITH WINE METAL SIGN,"GIN + TONIC DIET METAL SIGN, PLEASE ONE PERSON METAL SIGN  →  COOK WITH WINE METAL SIGN",0.0117,0.6416,14.6366,Very Strong
"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG  →  RED RETROSPOT CHARLOTTE BAG",0.0114,0.71,14.5667,Very Strong
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT","JUMBO BAG SCANDINAVIAN BLUE PAISLEY  →  JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT",0.0113,0.3357,14.3442,Very Strong
"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT",JUMBO BAG SCANDINAVIAN BLUE PAISLEY,"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT  →  JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.0113,0.4811,14.3442,Very Strong
"HAND OVER THE CHOCOLATE   SIGN, PLEASE ONE PERSON METAL SIGN",COOK WITH WINE METAL SIGN,"HAND OVER THE CHOCOLATE   SIGN, PLEASE ONE PERSON METAL SIGN  →  COOK WITH WINE METAL SIGN",0.0113,0.6267,14.296,Very Strong
"ALARM CLOCK BAKELIKE IVORY, ALARM CLOCK BAKELIKE RED",ALARM CLOCK BAKELIKE PINK,"ALARM CLOCK BAKELIKE IVORY, ALARM CLOCK BAKELIKE RED  →  ALARM CLOCK BAKELIKE PINK",0.0127,0.5583,14.2827,Very Strong
ALARM CLOCK BAKELIKE PINK,"ALARM CLOCK BAKELIKE IVORY, ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE PINK  →  ALARM CLOCK BAKELIKE IVORY, ALARM CLOCK BAKELIKE RED",0.0127,0.3251,14.2827,Very Strong
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE IVORY",ALARM CLOCK BAKELIKE PINK,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE IVORY  →  ALARM CLOCK BAKELIKE PINK",0.0111,0.5565,14.2353,Very Strong
JUMBO BAG DOILEY PATTERNS,LUNCH BAG DOILEY PATTERN,JUMBO BAG DOILEY PATTERNS  →  LUNCH BAG DOILEY PATTERN,0.0151,0.4677,14.2162,Very Strong
LUNCH BAG DOILEY PATTERN,JUMBO BAG DOILEY PATTERNS,LUNCH BAG DOILEY PATTERN  →  JUMBO BAG DOILEY PATTERNS,0.0151,0.4597,14.2162,Very Strong
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN  →  HAND WARMER BIRD DESIGN,0.019,0.5187,14.2043,Very Strong
