"customerid","lifetime_spend","total_orders","avg_order_value","days_since_purchase","unique_products_bought","active_months","first_purchase","last_purchase"
15078,"9743.11",32,"304.47",7,"97","13","2010-12-06 12:38:00","2011-12-02 15:41:00"
12709,"9736.52",15,"649.10",15,"93","10","2010-12-08 09:49:00","2011-11-24 15:38:00"
13458,"9646.57",14,"689.04",7,"242","11","2010-12-15 12:05:00","2011-12-02 15:29:00"
15482,"9590.56",12,"799.21",16,"44","5","2010-12-16 10:08:00","2011-11-24 10:46:00"
14733,"9585.91",12,"798.83",16,"102","9","2010-12-07 11:30:00","2011-11-23 15:39:00"
15502,"9508.93",12,"792.41",16,"162","6","2010-12-05 15:40:00","2011-11-24 12:48:00"
16523,"9418.47",21,"448.50",2,"151","11","2011-01-28 12:06:00","2011-12-08 09:06:00"
14866,"9407.98",11,"855.27",11,"30","5","2011-07-21 14:14:00","2011-11-29 11:45:00"
12567,"9401.28",10,"940.13",23,"323","7","2010-12-05 11:57:00","2011-11-17 11:02:00"
14367,"9261.52",16,"578.85",8,"270","9","2011-03-08 14:12:00","2011-12-01 13:19:00"
14667,"9180.72",25,"367.23",11,"354","11","2010-12-06 13:13:00","2011-11-29 11:30:00"
15251,"9152.19",10,"915.22",9,"87","8","2011-04-12 10:38:00","2011-11-30 15:02:00"
13969,"9053.94",18,"503.00",7,"334","11","2010-12-09 19:32:00","2011-12-02 15:11:00"
12451,"9035.52",5,"1807.10",11,"265","4","2011-01-19 09:05:00","2011-11-29 08:40:00"
13488,"8968.31",13,"689.87",17,"271","10","2010-12-07 13:01:00","2011-11-22 14:41:00"
17949,"8961.87",16,"560.12",8,"17","7","2010-12-03 13:12:00","2011-12-02 11:43:00"
13090,"8910.82",14,"636.49",9,"98","10","2010-12-02 07:48:00","2011-12-01 12:39:00"
16033,"8816.40",20,"440.82",6,"538","13","2010-12-05 10:36:00","2011-12-04 12:44:00"
13001,"8726.70",13,"671.28",4,"165","9","2011-01-17 12:45:00","2011-12-05 14:51:00"
17243,"8676.85",26,"333.72",1,"180","12","2010-12-05 10:03:00","2011-12-08 13:26:00"
17017,"8546.90",20,"427.35",3,"87","10","2010-12-02 10:17:00","2011-12-07 09:32:00"
14527,"8508.82",55,"154.71",3,"330","13","2010-12-05 13:17:00","2011-12-07 12:19:00"
12683,"8476.57",15,"565.10",4,"177","9","2010-12-09 10:37:00","2011-12-05 16:31:00"
16558,"8338.49",20,"416.92",1,"264","13","2010-12-08 12:01:00","2011-12-09 10:20:00"
14056,"8214.65",23,"357.16",1,"320","11","2011-02-28 15:19:00","2011-12-08 13:36:00"
15358,"8166.24",22,"371.19",5,"291","13","2010-12-09 10:04:00","2011-12-05 09:04:00"
16672,"8134.94",20,"406.75",2,"22","9","2011-03-18 10:15:00","2011-12-07 16:29:00"
13854,"8109.52",25,"324.38",9,"39","12","2010-12-09 10:48:00","2011-12-01 09:06:00"
14796,"8022.49",17,"471.91",1,"403","13","2010-12-08 10:40:00","2011-12-08 15:31:00"
12428,"7956.46",9,"884.05",26,"258","5","2011-03-01 09:33:00","2011-11-14 08:22:00"
12757,"7857.10",13,"604.39",16,"237","5","2011-05-12 19:01:00","2011-11-24 12:30:00"
14849,"7851.34",25,"314.05",22,"158","11","2010-12-01 12:22:00","2011-11-18 10:58:00"
17811,"7837.73",39,"200.97",4,"359","12","2011-01-10 10:58:00","2011-12-05 13:46:00"
15290,"7793.46",18,"432.97",5,"92","12","2010-12-15 16:03:00","2011-12-05 11:39:00"
18092,"7778.26",11,"707.11",2,"27","8","2010-12-09 10:00:00","2011-12-07 13:14:00"
15044,"7700.23",17,"452.95",19,"233","11","2010-12-12 14:27:00","2011-11-20 13:20:00"
13263,"7454.07",35,"212.97",1,"450","11","2011-01-18 16:31:00","2011-12-08 13:59:00"
13199,"7419.04",36,"206.08",4,"47","13","2010-12-08 10:51:00","2011-12-06 12:30:00"
15194,"7384.53",15,"492.30",3,"209","10","2010-12-06 15:00:00","2011-12-06 15:10:00"
12474,"7375.79",18,"409.77",17,"253","9","2011-01-14 10:06:00","2011-11-22 14:39:00"
15465,"7354.62",18,"408.59",20,"43","10","2010-12-05 10:12:00","2011-11-20 10:11:00"
13018,"7277.70",28,"259.92",16,"313","10","2011-02-17 11:05:00","2011-11-23 13:28:00"
18229,"7276.90",20,"363.85",12,"66","12","2010-12-01 16:25:00","2011-11-28 09:48:00"
18109,"7184.65",26,"276.33",2,"119","13","2010-12-05 10:58:00","2011-12-08 11:36:00"
16923,"7172.73",19,"377.51",12,"313","10","2010-12-12 11:06:00","2011-11-27 13:00:00"
12583,"7130.18",15,"475.35",3,"113","12","2010-12-01 08:45:00","2011-12-07 08:07:00"
15769,"7122.72",16,"445.17",7,"21","11","2010-12-03 15:16:00","2011-12-02 13:52:00"
13985,"7060.13",15,"470.68",4,"108","9","2011-03-20 13:48:00","2011-12-05 17:06:00"
14961,"7044.68",9,"782.74",11,"193","6","2010-12-14 11:38:00","2011-11-29 09:42:00"
16873,"7030.02",6,"1171.67",5,"178","6","2010-12-10 15:45:00","2011-12-05 12:05:00"
12766,"6989.63",7,"998.52",4,"205","7","2010-12-08 13:53:00","2011-12-06 08:46:00"
16187,"6911.44",15,"460.76",32,"160","8","2011-02-28 13:34:00","2011-11-08 09:50:00"
17416,"6893.42",7,"984.77",30,"186","6","2011-03-03 13:45:00","2011-11-10 12:47:00"
12705,"6868.29",9,"763.14",15,"228","7","2010-12-17 15:58:00","2011-11-24 13:17:00"
12476,"6816.42",11,"619.67",16,"177","9","2010-12-13 14:39:00","2011-11-24 12:40:00"
15023,"6802.76",11,"618.43",3,"347","9","2010-12-05 13:49:00","2011-12-06 17:23:00"
18055,"6784.19",10,"678.42",7,"223","7","2010-12-05 10:52:00","2011-12-02 14:25:00"
15601,"6776.56",14,"484.04",11,"230","10","2010-12-02 10:39:00","2011-11-28 15:15:00"
13576,"6717.34",18,"373.19",10,"78","12","2010-12-01 17:24:00","2011-11-29 15:34:00"
15249,"6688.46",13,"514.50",32,"211","8","2011-03-28 12:49:00","2011-11-08 11:45:00"
16353,"6675.71",23,"290.25",4,"51","11","2010-12-05 12:09:00","2011-12-06 12:23:00"
17338,"6643.93",8,"830.49",17,"389","8","2010-12-13 12:57:00","2011-11-22 14:23:00"
12626,"6620.48",9,"735.61",23,"232","6","2011-01-17 11:01:00","2011-11-16 16:06:00"
16713,"6610.17",15,"440.68",19,"338","10","2010-12-08 13:01:00","2011-11-21 12:36:00"
16746,"6593.98",18,"366.33",5,"234","11","2010-12-16 11:43:00","2011-12-05 12:33:00"
15144,"6580.44",17,"387.08",8,"132","9","2011-01-31 13:17:00","2011-12-01 15:12:00"
12472,"6572.11",7,"938.87",32,"219","7","2010-12-05 14:19:00","2011-11-07 14:01:00"
16814,"6509.10",21,"309.96",14,"122","12","2010-12-05 11:45:00","2011-11-25 13:27:00"
18223,"6484.54",14,"463.18",5,"116","10","2010-12-16 16:42:00","2011-12-05 09:11:00"
13871,"6403.25",13,"492.56",23,"155","10","2011-02-04 09:30:00","2011-11-17 10:49:00"
15694,"6341.16",14,"452.94",1,"42","9","2010-12-02 07:49:00","2011-12-09 09:44:00"
13709,"6328.05",13,"486.77",4,"244","6","2011-01-28 14:57:00","2011-12-06 10:28:00"
15005,"6316.57",28,"225.59",16,"360","12","2010-12-08 14:36:00","2011-11-24 12:25:00"
16126,"6287.77",4,"1571.94",29,"57","4","2011-02-16 11:18:00","2011-11-10 16:03:00"
13102,"6166.33",24,"256.93",1,"140","12","2010-12-09 13:38:00","2011-12-08 12:52:00"
13668,"6160.07",21,"293.34",3,"284","12","2010-12-12 12:35:00","2011-12-07 12:11:00"
17315,"6136.74",38,"161.49",2,"256","13","2010-12-17 12:24:00","2011-12-08 12:15:00"
13418,"6127.43",18,"340.41",12,"223","9","2010-12-02 10:45:00","2011-11-28 10:23:00"
16210,"6113.18",18,"339.62",2,"71","9","2010-12-01 12:27:00","2011-12-08 12:36:00"
14735,"6065.69",32,"189.55",4,"99","12","2010-12-16 16:05:00","2011-12-06 12:09:00"
13097,"6010.42",10,"601.04",33,"214","9","2010-12-14 15:13:00","2011-11-07 10:43:00"
18139,"5948.34",6,"991.39",18,"33","1","2011-11-21 14:06:00","2011-11-22 10:44:00"
18172,"5929.68",17,"348.80",15,"100","8","2011-02-23 10:44:00","2011-11-25 11:12:00"
15382,"5913.95",6,"985.66",15,"193","5","2011-02-17 12:01:00","2011-11-25 10:58:00"
14505,"5905.64",8,"738.20",17,"540","6","2010-12-12 16:14:00","2011-11-22 15:45:00"
14415,"5900.28",13,"453.87",1,"283","12","2010-12-14 13:31:00","2011-12-08 14:38:00"
14944,"5900.25",12,"491.69",30,"101","6","2011-02-16 12:47:00","2011-11-10 09:10:00"
14060,"5895.62",19,"310.30",5,"84","13","2010-12-02 12:11:00","2011-12-05 12:29:00"
13209,"5891.61",8,"736.45",30,"255","6","2010-12-13 10:31:00","2011-11-09 13:54:00"
13534,"5870.08",25,"234.80",2,"119","12","2010-12-16 15:23:00","2011-12-07 14:52:00"
13050,"5836.86",17,"343.34",15,"246","10","2010-12-08 09:30:00","2011-11-25 09:18:00"
14057,"5831.32",16,"364.46",24,"179","11","2010-12-14 12:11:00","2011-11-16 10:32:00"
17686,"5739.46",7,"819.92",7,"205","5","2011-02-10 10:18:00","2011-12-02 15:39:00"
12720,"5725.57",25,"229.02",3,"211","13","2010-12-05 15:21:00","2011-12-07 08:03:00"
13178,"5725.47",11,"520.50",26,"95","8","2010-12-14 12:22:00","2011-11-13 16:14:00"
13629,"5715.36",11,"519.58",23,"27","9","2011-01-05 12:09:00","2011-11-16 13:21:00"
13468,"5704.97",37,"154.19",2,"184","13","2010-12-01 15:08:00","2011-12-08 10:39:00"
14110,"5683.15",12,"473.60",4,"94","9","2011-03-18 09:59:00","2011-12-06 12:26:00"
14049,"5681.72",4,"1420.43",17,"348","4","2011-01-26 11:27:00","2011-11-23 12:20:00"
17049,"5659.98",9,"628.89",3,"201","8","2011-03-09 08:33:00","2011-12-07 10:48:00"
17716,"5655.99",11,"514.18",23,"171","6","2011-03-17 10:38:00","2011-11-17 12:00:00"
13004,"5655.91",18,"314.22",12,"277","11","2010-12-17 08:20:00","2011-11-28 11:27:00"
18118,"5653.82",26,"217.45",11,"424","11","2010-12-05 12:13:00","2011-11-29 11:32:00"
14688,"5630.87",21,"268.14",8,"148","12","2010-12-01 09:37:00","2011-12-02 12:26:00"
12481,"5596.32",10,"559.63",23,"150","7","2010-12-09 10:13:00","2011-11-17 08:29:00"
12839,"5591.42",14,"399.39",3,"95","10","2010-12-07 15:48:00","2011-12-07 12:33:00"
16161,"5575.56",19,"293.45",2,"286","11","2010-12-06 10:03:00","2011-12-08 12:10:00"
12539,"5568.35",4,"1392.09",22,"157","3","2011-01-10 09:11:00","2011-11-17 13:30:00"
15805,"5528.48",17,"325.20",23,"220","8","2010-12-10 09:33:00","2011-11-16 16:32:00"
18225,"5509.12",12,"459.09",3,"150","10","2010-12-09 15:46:00","2011-12-06 13:27:00"
16609,"5493.46",7,"784.78",15,"155","5","2011-04-01 10:11:00","2011-11-24 13:32:00"
16767,"5492.28",11,"499.30",31,"147","8","2011-01-27 13:38:00","2011-11-09 09:42:00"
16985,"5464.12",10,"546.41",17,"62","7","2010-12-16 10:38:00","2011-11-22 13:33:00"
16265,"5447.00",9,"605.22",9,"164","7","2010-12-10 10:21:00","2011-11-30 16:41:00"
12490,"5417.93",10,"541.79",5,"131","8","2011-01-14 09:13:00","2011-12-04 16:07:00"
16303,"5360.63",3,"1786.88",26,"119","3","2011-01-10 14:16:00","2011-11-14 10:49:00"
17757,"5353.29",30,"178.44",1,"275","13","2010-12-02 17:17:00","2011-12-08 15:31:00"
13269,"5346.23",15,"356.42",1,"177","10","2010-12-05 11:51:00","2011-12-08 14:53:00"
15150,"5314.47",10,"531.45",17,"282","6","2011-03-15 14:21:00","2011-11-22 12:52:00"
17730,"5298.48",13,"407.58",3,"127","10","2011-01-17 14:49:00","2011-12-06 15:43:00"
17809,"5259.27",12,"438.27",16,"46","8","2010-12-01 09:41:00","2011-11-23 12:59:00"
12362,"5226.23",10,"522.62",3,"201","8","2011-02-17 10:30:00","2011-12-06 15:40:00"
15727,"5178.96",7,"739.85",17,"213","7","2010-12-15 15:47:00","2011-11-23 12:36:00"
13599,"5153.67",21,"245.41",1,"171","9","2010-12-08 10:11:00","2011-12-08 16:10:00"
15903,"5126.76",7,"732.39",10,"46","4","2011-02-17 14:04:00","2011-11-30 08:08:00"
17602,"5102.97",6,"850.49",2,"335","6","2011-01-19 16:18:00","2011-12-07 13:53:00"
16700,"5076.55",13,"390.50",9,"159","12","2010-12-08 16:34:00","2011-12-01 11:00:00"
14562,"5074.77",18,"281.93",4,"187","9","2011-02-08 14:45:00","2011-12-06 11:05:00"
13139,"5064.94",7,"723.56",16,"132","5","2011-03-25 11:57:00","2011-11-23 13:54:00"
15719,"5045.61",13,"388.12",33,"299","11","2011-01-06 12:31:00","2011-11-07 12:29:00"
16701,"5044.06",13,"388.00",9,"95","10","2010-12-13 11:51:00","2011-12-01 11:10:00"
17426,"5037.26",6,"839.54",8,"179","4","2011-03-02 16:34:00","2011-12-01 18:07:00"
14755,"5010.28",11,"455.48",10,"128","10","2011-01-09 14:02:00","2011-11-30 11:24:00"
12444,"5005.46",5,"1001.09",21,"138","5","2011-06-21 14:00:00","2011-11-18 13:23:00"
14329,"4954.36",7,"707.77",17,"217","6","2011-01-14 13:42:00","2011-11-22 15:50:00"
12437,"4951.41",18,"275.08",2,"118","10","2011-01-12 14:13:00","2011-12-08 11:35:00"
12700,"4939.99",4,"1235.00",8,"193","4","2011-05-08 16:10:00","2011-12-02 10:47:00"
14709,"4921.04",13,"378.54",15,"71","9","2010-12-16 13:43:00","2011-11-24 15:41:00"
17306,"4882.99",15,"325.53",11,"11","9","2011-01-21 15:41:00","2011-11-29 12:14:00"
12664,"4881.88",9,"542.43",8,"10","7","2011-01-21 11:42:00","2011-12-01 17:07:00"
14292,"4871.93",9,"541.33",8,"64","6","2011-03-02 08:26:00","2011-12-02 11:50:00"
17652,"4867.72",12,"405.64",25,"118","7","2011-03-03 14:05:00","2011-11-14 12:55:00"
13756,"4834.32",14,"345.31",2,"66","9","2010-12-07 11:41:00","2011-12-07 16:44:00"
15738,"4812.42",16,"300.78",19,"46","12","2010-12-02 12:50:00","2011-11-21 08:26:00"
13013,"4810.94",13,"370.07",1,"155","9","2010-12-03 12:28:00","2011-12-08 15:01:00"
15555,"4805.17",16,"300.32",12,"401","9","2010-12-05 14:45:00","2011-11-27 16:19:00"
17365,"4801.56",8,"600.19",13,"278","7","2011-01-11 12:11:00","2011-11-27 12:13:00"
17690,"4757.95",15,"317.20",30,"186","9","2010-12-01 16:15:00","2011-11-09 15:17:00"
12955,"4757.16",11,"432.47",1,"81","8","2011-03-17 09:03:00","2011-12-08 16:29:00"
15547,"4753.24",14,"339.52",7,"440","10","2010-12-12 13:26:00","2011-12-02 12:52:00"
14180,"4748.52",25,"189.94",11,"112","12","2010-12-02 13:08:00","2011-11-29 10:56:00"
15152,"4745.69",13,"365.05",10,"196","6","2011-06-05 15:36:00","2011-11-30 12:32:00"
12989,"4731.71",14,"337.98",3,"41","10","2010-12-10 13:24:00","2011-12-06 15:28:00"
15187,"4712.38",16,"294.52",2,"61","8","2011-05-11 13:49:00","2011-12-08 11:56:00"
15218,"4708.89",11,"428.08",11,"76","9","2011-01-25 11:20:00","2011-11-29 11:48:00"
12714,"4708.86",5,"941.77",9,"216","5","2011-02-18 10:53:00","2011-11-30 15:43:00"
14159,"4693.01",11,"426.64",20,"501","7","2010-12-12 11:17:00","2011-11-20 12:36:00"
14191,"4684.76",13,"360.37",2,"145","8","2011-05-03 10:30:00","2011-12-08 09:23:00"
14390,"4652.82",9,"516.98",10,"135","6","2010-12-02 11:57:00","2011-11-29 13:49:00"
16722,"4641.53",13,"357.04",17,"95","10","2010-12-06 12:59:00","2011-11-22 13:28:00"
14189,"4636.80",15,"309.12",2,"175","12","2010-12-06 11:42:00","2011-12-07 15:55:00"
16191,"4609.32",12,"384.11",3,"64","7","2010-12-14 12:38:00","2011-12-07 11:26:00"
16931,"4604.22",21,"219.25",5,"448","13","2010-12-05 11:40:00","2011-12-04 13:15:00"
17613,"4559.15",14,"325.65",23,"211","9","2011-02-07 11:20:00","2011-11-17 10:51:00"
17068,"4552.14",21,"216.77",12,"116","11","2010-12-06 13:58:00","2011-11-27 13:14:00"
12484,"4541.72",6,"756.95",33,"256","4","2011-01-07 14:04:00","2011-11-07 11:37:00"
15046,"4532.49",15,"302.17",9,"146","9","2011-01-05 15:30:00","2011-11-30 15:50:00"
13267,"4521.49",19,"237.97",3,"88","10","2010-12-08 09:20:00","2011-12-07 11:12:00"
17975,"4488.81",13,"345.29",15,"189","10","2010-12-08 11:38:00","2011-11-24 13:27:00"
14426,"4481.67",10,"448.17",24,"183","5","2011-01-31 09:51:00","2011-11-16 12:25:00"
17364,"4481.18",11,"407.38",1,"288","7","2011-01-12 16:57:00","2011-12-09 09:00:00"
14135,"4478.31",15,"298.55",2,"94","8","2010-12-02 10:27:00","2011-12-08 11:38:00"
12627,"4470.53",7,"638.65",11,"162","5","2011-07-22 13:59:00","2011-11-29 12:07:00"
14085,"4448.54",18,"247.14",2,"272","10","2010-12-06 12:39:00","2011-12-07 13:46:00"
14534,"4447.05",18,"247.06",3,"331","12","2011-01-25 12:33:00","2011-12-07 12:19:00"
15955,"4416.26",14,"315.45",24,"137","7","2010-12-02 11:22:00","2011-11-15 14:15:00"
12712,"4396.13",13,"338.16",29,"58","10","2010-12-03 14:30:00","2011-11-11 08:19:00"
13941,"4354.08",5,"870.82",22,"24","5","2010-12-02 10:17:00","2011-11-18 09:43:00"
16945,"4345.50",19,"228.71",22,"137","10","2010-12-16 17:49:00","2011-11-18 11:39:00"
14525,"4332.20",9,"481.36",20,"217","8","2010-12-13 17:40:00","2011-11-20 11:37:00"
15034,"4308.61",8,"538.58",16,"299","6","2010-12-21 09:47:00","2011-11-24 12:11:00"
17937,"4301.22",7,"614.46",9,"19","6","2010-12-12 14:43:00","2011-12-01 11:45:00"
15291,"4272.30",14,"305.16",26,"62","7","2010-12-01 09:32:00","2011-11-14 11:02:00"
14422,"4263.64",6,"710.61",1,"189","6","2011-03-17 17:26:00","2011-12-09 11:26:00"
17419,"4226.57",12,"352.21",11,"155","8","2010-12-07 15:03:00","2011-11-28 13:47:00"
15804,"4206.39",13,"323.57",1,"170","8","2011-05-25 10:12:00","2011-12-09 12:31:00"
12747,"4196.01",11,"381.46",2,"42","9","2010-12-05 15:38:00","2011-12-07 14:34:00"
12524,"4194.84",8,"524.36",9,"112","7","2011-01-10 10:35:00","2011-11-30 15:31:00"
14146,"4191.00",5,"838.20",9,"183","4","2010-12-17 15:52:00","2011-12-01 10:18:00"
18041,"4183.39",21,"199.21",12,"285","11","2010-12-02 11:21:00","2011-11-28 11:39:00"
12949,"4167.22",8,"520.90",31,"166","4","2011-04-01 13:20:00","2011-11-09 11:25:00"
15570,"4165.52",12,"347.13",7,"231","8","2010-12-05 12:57:00","2011-12-02 14:47:00"
15093,"4160.70",6,"693.45",18,"50","6","2010-12-02 18:25:00","2011-11-21 13:09:00"
16549,"4154.64",10,"415.46",10,"445","5","2011-01-09 14:03:00","2011-11-29 15:06:00"
13988,"4147.96",6,"691.33",20,"188","6","2011-03-30 11:48:00","2011-11-20 10:15:00"
17920,"4143.62",17,"243.74",4,"406","10","2010-12-01 11:49:00","2011-12-05 14:29:00"
12569,"4124.69",32,"128.90",2,"92","9","2011-04-01 13:47:00","2011-12-07 16:24:00"
16592,"4113.68",16,"257.10",4,"142","8","2011-02-25 10:19:00","2011-12-05 13:49:00"
17377,"4100.92",20,"205.05",24,"190","8","2010-12-01 12:35:00","2011-11-16 11:17:00"
17567,"4099.48",8,"512.43",7,"110","8","2010-12-02 15:18:00","2011-12-02 15:48:00"
