"CustomerID","Segment","Lifetime_Spend_GBP","Historical_Orders","Days_Silent","Avg_Order_Value_GBP","R_Score","M_Score","Last_Seen","Est_Annual_Revenue_At_Risk","Action"
18239,"At Risk","1561.61",5,219,"312.32",1,4,"2011-05-05","1562","Win-back email. Renewal discount."
16244,"At Risk","1522.75",2,212,"761.38",1,4,"2011-05-12","1523","Win-back email. Renewal discount."
15057,"At Risk","1489.50",2,275,"744.75",1,4,"2011-03-09","1490","Win-back email. Renewal discount."
14740,"At Risk","1448.21",3,197,"482.74",1,4,"2011-05-26","1448","Win-back email. Renewal discount."
13475,"At Risk","1431.78",4,191,"357.95",1,4,"2011-06-01","1432","Win-back email. Renewal discount."
14828,"At Risk","1405.12",3,197,"468.37",1,4,"2011-05-27","1405","Win-back email. Renewal discount."
18202,"At Risk","1396.99",3,200,"465.66",1,4,"2011-05-24","1397","Win-back email. Renewal discount."
14154,"At Risk","1345.62",2,239,"672.81",1,4,"2011-04-14","1346","Win-back email. Renewal discount."
15813,"At Risk","1303.91",2,208,"651.96",1,4,"2011-05-16","1304","Win-back email. Renewal discount."
14669,"At Risk","1269.99",3,242,"423.33",1,4,"2011-04-12","1270","Win-back email. Renewal discount."
15797,"At Risk","1243.80",2,305,"621.90",1,4,"2011-02-08","1244","Win-back email. Renewal discount."
16714,"At Risk","1161.53",3,219,"387.18",1,4,"2011-05-05","1162","Win-back email. Renewal discount."
16766,"At Risk","1145.60",2,273,"572.80",1,4,"2011-03-11","1146","Win-back email. Renewal discount."
17770,"At Risk","1143.27",5,199,"228.65",1,4,"2011-05-25","1143","Win-back email. Renewal discount."
13819,"At Risk","1140.35",3,302,"380.12",1,4,"2011-02-11","1140","Win-back email. Renewal discount."
14161,"At Risk","1110.52",3,216,"370.17",1,4,"2011-05-08","1111","Win-back email. Renewal discount."
14817,"At Risk","1110.34",2,200,"555.17",1,4,"2011-05-23","1110","Win-back email. Renewal discount."
13715,"At Risk","1079.34",5,281,"215.87",1,4,"2011-03-03","1079","Win-back email. Renewal discount."
17277,"At Risk","1065.35",2,228,"532.67",1,4,"2011-04-26","1065","Win-back email. Renewal discount."
14465,"At Risk","1058.62",3,247,"352.87",1,4,"2011-04-07","1059","Win-back email. Renewal discount."
15777,"At Risk","1047.11",4,241,"261.78",1,4,"2011-04-12","1047","Win-back email. Renewal discount."
16520,"At Risk","1046.57",3,186,"348.86",1,4,"2011-06-06","1047","Win-back email. Renewal discount."
15104,"At Risk","1027.44",2,197,"513.72",1,4,"2011-05-27","1027","Win-back email. Renewal discount."
15658,"At Risk","1024.10",5,190,"204.82",1,4,"2011-06-02","1024","Win-back email. Renewal discount."
17646,"At Risk","1008.39",3,219,"336.13",1,4,"2011-05-04","1008","Win-back email. Renewal discount."
15508,"At Risk","1000.27",6,189,"166.71",1,4,"2011-06-03","1000","Win-back email. Renewal discount."
14920,"At Risk","977.77",2,213,"488.88",1,4,"2011-05-11","978","Win-back email. Renewal discount."
14256,"At Risk","969.06",2,260,"484.53",1,4,"2011-03-24","969","Win-back email. Renewal discount."
14081,"At Risk","934.52",2,302,"467.26",1,4,"2011-02-10","935","Win-back email. Renewal discount."
14532,"At Risk","932.85",4,236,"233.21",1,4,"2011-04-17","933","Win-back email. Renewal discount."
14231,"At Risk","925.71",3,184,"308.57",1,4,"2011-06-09","926","Win-back email. Renewal discount."
16716,"At Risk","901.20",2,267,"450.60",1,3,"2011-03-18","901","Win-back email. Renewal discount."
14625,"At Risk","899.63",2,196,"449.82",1,3,"2011-05-27","900","Win-back email. Renewal discount."
15079,"At Risk","895.61",4,213,"223.90",1,3,"2011-05-11","896","Win-back email. Renewal discount."
14770,"At Risk","876.42",2,232,"438.21",1,3,"2011-04-21","876","Win-back email. Renewal discount."
15100,"At Risk","876.00",3,334,"292.00",1,3,"2011-01-10","876","Win-back email. Renewal discount."
16163,"At Risk","856.60",2,232,"428.30",1,3,"2011-04-21","857","Win-back email. Renewal discount."
16037,"At Risk","855.02",3,270,"285.01",1,3,"2011-03-15","855","Win-back email. Renewal discount."
16980,"At Risk","845.76",2,255,"422.88",1,3,"2011-03-29","846","Win-back email. Renewal discount."
16943,"At Risk","816.73",3,212,"272.24",1,3,"2011-05-12","817","Win-back email. Renewal discount."
15649,"At Risk","816.00",2,336,"408.00",1,3,"2011-01-07","816","Win-back email. Renewal discount."
13811,"At Risk","814.50",3,184,"271.50",1,3,"2011-06-09","815","Win-back email. Renewal discount."
16546,"At Risk","787.15",2,291,"393.57",1,3,"2011-02-22","787","Win-back email. Renewal discount."
16725,"At Risk","781.02",7,302,"111.57",1,3,"2011-02-10","781","Win-back email. Renewal discount."
15353,"At Risk","777.02",2,255,"388.51",1,3,"2011-03-30","777","Win-back email. Renewal discount."
17409,"At Risk","771.85",2,185,"385.92",1,3,"2011-06-08","772","Win-back email. Renewal discount."
14672,"At Risk","765.55",2,235,"382.78",1,3,"2011-04-19","766","Win-back email. Renewal discount."
15223,"At Risk","755.75",2,226,"377.88",1,3,"2011-04-28","756","Win-back email. Renewal discount."
13900,"At Risk","740.95",3,183,"246.98",1,3,"2011-06-09","741","Win-back email. Renewal discount."
17472,"At Risk","710.29",3,191,"236.76",1,3,"2011-06-01","710","Win-back email. Renewal discount."
14867,"At Risk","710.28",3,186,"236.76",1,3,"2011-06-07","710","Win-back email. Renewal discount."
16449,"At Risk","707.69",2,198,"353.84",1,3,"2011-05-26","708","Win-back email. Renewal discount."
16567,"At Risk","704.56",2,194,"352.28",1,3,"2011-05-29","705","Win-back email. Renewal discount."
16997,"At Risk","702.00",3,288,"234.00",1,3,"2011-02-24","702","Win-back email. Renewal discount."
14009,"At Risk","695.61",2,198,"347.80",1,3,"2011-05-25","696","Win-back email. Renewal discount."
18085,"At Risk","689.95",2,330,"344.98",1,3,"2011-01-13","690","Win-back email. Renewal discount."
17874,"At Risk","683.46",6,185,"113.91",1,3,"2011-06-07","683","Win-back email. Renewal discount."
13963,"At Risk","664.54",4,308,"166.13",1,3,"2011-02-04","665","Win-back email. Renewal discount."
15643,"At Risk","664.00",3,192,"221.33",1,3,"2011-06-01","664","Win-back email. Renewal discount."
18218,"At Risk","662.08",2,211,"331.04",1,3,"2011-05-12","662","Win-back email. Renewal discount."
15648,"At Risk","657.35",2,204,"328.68",1,3,"2011-05-19","657","Win-back email. Renewal discount."
16431,"At Risk","642.81",3,213,"214.27",1,3,"2011-05-10","643","Win-back email. Renewal discount."
14220,"At Risk","632.40",2,247,"316.20",1,3,"2011-04-06","632","Win-back email. Renewal discount."
16306,"At Risk","632.27",6,214,"105.38",1,3,"2011-05-10","632","Win-back email. Renewal discount."
18183,"At Risk","632.07",2,227,"316.04",1,3,"2011-04-26","632","Win-back email. Renewal discount."
17990,"At Risk","630.84",3,237,"210.28",1,3,"2011-04-17","631","Win-back email. Renewal discount."
14377,"At Risk","617.05",2,191,"308.52",1,3,"2011-06-01","617","Win-back email. Renewal discount."
17849,"At Risk","605.80",4,218,"151.45",1,3,"2011-05-05","606","Win-back email. Renewal discount."
17507,"At Risk","605.58",2,262,"302.79",1,3,"2011-03-23","606","Win-back email. Renewal discount."
17890,"At Risk","602.09",2,323,"301.05",1,3,"2011-01-21","602","Win-back email. Renewal discount."
15381,"At Risk","596.85",2,214,"298.43",1,3,"2011-05-10","597","Win-back email. Renewal discount."
16838,"At Risk","588.85",2,197,"294.43",1,3,"2011-05-26","589","Win-back email. Renewal discount."
18095,"At Risk","580.05",2,313,"290.02",1,3,"2011-01-31","580","Win-back email. Renewal discount."
12601,"At Risk","577.06",5,190,"115.41",1,3,"2011-06-03","577","Win-back email. Renewal discount."
14176,"At Risk","576.90",4,297,"144.22",1,3,"2011-02-15","577","Win-back email. Renewal discount."
12414,"At Risk","562.41",3,217,"187.47",1,3,"2011-05-06","562","Win-back email. Renewal discount."
16109,"At Risk","551.40",2,219,"275.70",1,3,"2011-05-05","551","Win-back email. Renewal discount."
16230,"At Risk","542.03",2,190,"271.01",1,3,"2011-06-03","542","Win-back email. Renewal discount."
14496,"At Risk","538.81",2,312,"269.41",1,3,"2011-02-01","539","Win-back email. Renewal discount."
17062,"At Risk","538.37",4,314,"134.59",1,3,"2011-01-30","538","Win-back email. Renewal discount."
15433,"At Risk","533.30",2,214,"266.65",1,3,"2011-05-10","533","Win-back email. Renewal discount."
16955,"At Risk","518.67",4,185,"129.67",1,3,"2011-06-08","519","Win-back email. Renewal discount."
17454,"At Risk","517.53",4,192,"129.38",1,3,"2011-05-31","518","Win-back email. Renewal discount."
15882,"At Risk","516.36",4,199,"129.09",1,3,"2011-05-25","516","Win-back email. Renewal discount."
12811,"At Risk","514.85",3,261,"171.62",1,3,"2011-03-24","515","Win-back email. Renewal discount."
15246,"At Risk","514.15",2,238,"257.08",1,3,"2011-04-15","514","Win-back email. Renewal discount."
15881,"At Risk","501.39",5,312,"100.28",1,3,"2011-01-31","501","Win-back email. Renewal discount."
17374,"At Risk","495.77",2,219,"247.88",1,3,"2011-05-05","496","Win-back email. Renewal discount."
14450,"At Risk","483.25",3,181,"161.08",1,3,"2011-06-12","483","Win-back email. Renewal discount."
15589,"At Risk","478.53",3,256,"159.51",1,3,"2011-03-29","479","Win-back email. Renewal discount."
14320,"At Risk","477.79",2,207,"238.90",1,3,"2011-05-17","478","Win-back email. Renewal discount."
