"customerid","lifetime_spend","past_orders","days_inactive","avg_order_value","reactivation_tier","last_purchase"
16270,"1141.24",1,353,"1141.24","High Value — Priority Reactivation","21 Dec 2010"
13744,"1114.60",2,95,"557.30","High Value — Priority Reactivation","05 Sep 2011"
15069,"1109.53",1,179,"1109.53","High Value — Priority Reactivation","13 Jun 2011"
12857,"1106.40",2,211,"553.20","High Value — Priority Reactivation","13 May 2011"
15978,"1098.78",1,77,"1098.78","High Value — Priority Reactivation","23 Sep 2011"
12534,"1089.18",1,131,"1089.18","High Value — Priority Reactivation","01 Aug 2011"
12354,"1079.40",1,232,"1079.40","High Value — Priority Reactivation","21 Apr 2011"
12815,"1063.46",2,148,"531.73","High Value — Priority Reactivation","15 Jul 2011"
14411,"1063.00",1,311,"1063.00","High Value — Priority Reactivation","02 Feb 2011"
15464,"1048.85",1,338,"1048.85","High Value — Priority Reactivation","05 Jan 2011"
13328,"1042.08",1,316,"1042.08","High Value — Priority Reactivation","27 Jan 2011"
13235,"1031.07",1,212,"1031.07","High Value — Priority Reactivation","11 May 2011"
12717,"1030.98",2,151,"515.49","High Value — Priority Reactivation","11 Jul 2011"
15333,"1028.56",1,208,"1028.56","High Value — Priority Reactivation","15 May 2011"
12514,"1017.68",1,267,"1017.68","High Value — Priority Reactivation","17 Mar 2011"
12739,"1013.04",2,78,"506.52","High Value — Priority Reactivation","22 Sep 2011"
12545,"1000.39",2,75,"500.19","High Value — Priority Reactivation","25 Sep 2011"
12510,"982.57",2,143,"491.29","Medium Value — Standard Campaign","20 Jul 2011"
12550,"964.83",1,79,"964.83","Medium Value — Standard Campaign","21 Sep 2011"
13261,"944.10",2,269,"472.05","Medium Value — Standard Campaign","16 Mar 2011"
13655,"932.97",2,114,"466.49","Medium Value — Standard Campaign","17 Aug 2011"
13122,"922.39",2,94,"461.20","Medium Value — Standard Campaign","06 Sep 2011"
13934,"922.10",1,264,"922.10","Medium Value — Standard Campaign","21 Mar 2011"
13035,"921.88",2,74,"460.94","Medium Value — Standard Campaign","27 Sep 2011"
12652,"919.98",1,331,"919.98","Medium Value — Standard Campaign","12 Jan 2011"
13075,"919.61",1,130,"919.61","Medium Value — Standard Campaign","02 Aug 2011"
16216,"914.93",1,267,"914.93","Medium Value — Standard Campaign","17 Mar 2011"
13192,"911.94",2,95,"455.97","Medium Value — Standard Campaign","05 Sep 2011"
15480,"905.50",1,116,"905.50","Medium Value — Standard Campaign","15 Aug 2011"
17829,"889.24",1,299,"889.24","Medium Value — Standard Campaign","14 Feb 2011"
15076,"880.85",1,173,"880.85","Medium Value — Standard Campaign","20 Jun 2011"
13294,"873.74",2,190,"436.87","Medium Value — Standard Campaign","03 Jun 2011"
13979,"869.87",1,73,"869.87","Medium Value — Standard Campaign","27 Sep 2011"
17649,"868.49",1,138,"868.49","Medium Value — Standard Campaign","24 Jul 2011"
13339,"860.12",1,201,"860.12","Medium Value — Standard Campaign","23 May 2011"
12878,"854.99",2,236,"427.49","Medium Value — Standard Campaign","17 Apr 2011"
18087,"852.80",1,98,"852.80","Medium Value — Standard Campaign","02 Sep 2011"
12379,"852.24",2,82,"426.12","Medium Value — Standard Campaign","19 Sep 2011"
13221,"847.41",2,240,"423.71","Medium Value — Standard Campaign","13 Apr 2011"
16222,"846.72",1,318,"846.72","Medium Value — Standard Campaign","25 Jan 2011"
13929,"842.65",2,169,"421.33","Medium Value — Standard Campaign","23 Jun 2011"
16108,"842.50",1,85,"842.50","Medium Value — Standard Campaign","16 Sep 2011"
15832,"836.79",1,254,"836.79","Medium Value — Standard Campaign","30 Mar 2011"
12461,"826.88",2,94,"413.44","Medium Value — Standard Campaign","06 Sep 2011"
16494,"826.53",1,297,"826.53","Medium Value — Standard Campaign","16 Feb 2011"
13893,"821.10",1,298,"821.10","Medium Value — Standard Campaign","15 Feb 2011"
13707,"806.41",2,267,"403.21","Medium Value — Standard Campaign","17 Mar 2011"
12434,"806.14",2,85,"403.07","Medium Value — Standard Campaign","16 Sep 2011"
12701,"797.71",2,80,"398.86","Medium Value — Standard Campaign","21 Sep 2011"
13639,"795.74",1,74,"795.74","Medium Value — Standard Campaign","26 Sep 2011"
13336,"795.12",1,77,"795.12","Medium Value — Standard Campaign","23 Sep 2011"
14557,"788.38",1,85,"788.38","Medium Value — Standard Campaign","15 Sep 2011"
16054,"783.90",1,145,"783.90","Medium Value — Standard Campaign","17 Jul 2011"
13583,"781.03",1,156,"781.03","Medium Value — Standard Campaign","07 Jul 2011"
12497,"780.60",1,82,"780.60","Medium Value — Standard Campaign","19 Sep 2011"
12735,"779.57",2,315,"389.78","Medium Value — Standard Campaign","28 Jan 2011"
13375,"778.65",1,89,"778.65","Medium Value — Standard Campaign","12 Sep 2011"
13563,"777.53",2,84,"388.77","Medium Value — Standard Campaign","16 Sep 2011"
12425,"777.20",1,78,"777.20","Medium Value — Standard Campaign","22 Sep 2011"
13341,"775.85",1,261,"775.85","Medium Value — Standard Campaign","24 Mar 2011"
15075,"773.03",1,78,"773.03","Medium Value — Standard Campaign","23 Sep 2011"
12965,"771.91",1,89,"771.91","Medium Value — Standard Campaign","11 Sep 2011"
16480,"769.29",1,76,"769.29","Medium Value — Standard Campaign","25 Sep 2011"
13356,"768.24",1,80,"768.24","Medium Value — Standard Campaign","20 Sep 2011"
14885,"765.32",1,132,"765.32","Medium Value — Standard Campaign","31 Jul 2011"
13253,"762.56",2,157,"381.28","Medium Value — Standard Campaign","06 Jul 2011"
13370,"754.87",1,372,"754.87","Medium Value — Standard Campaign","03 Dec 2010"
13730,"752.60",2,136,"376.30","Medium Value — Standard Campaign","27 Jul 2011"
16256,"752.43",1,267,"752.43","Medium Value — Standard Campaign","18 Mar 2011"
15074,"748.87",1,105,"748.87","Medium Value — Standard Campaign","26 Aug 2011"
12818,"747.20",1,262,"747.20","Medium Value — Standard Campaign","23 Mar 2011"
13753,"741.26",1,288,"741.26","Medium Value — Standard Campaign","25 Feb 2011"
12976,"738.60",1,212,"738.60","Medium Value — Standard Campaign","12 May 2011"
12468,"729.54",2,188,"364.77","Medium Value — Standard Campaign","05 Jun 2011"
14055,"725.64",1,106,"725.64","Medium Value — Standard Campaign","25 Aug 2011"
12535,"716.35",2,92,"358.18","Medium Value — Standard Campaign","09 Sep 2011"
12616,"713.30",2,95,"356.65","Medium Value — Standard Campaign","05 Sep 2011"
18194,"713.20",1,82,"713.20","Medium Value — Standard Campaign","18 Sep 2011"
12453,"707.09",1,134,"707.09","Medium Value — Standard Campaign","28 Jul 2011"
12612,"704.04",1,74,"704.04","Medium Value — Standard Campaign","26 Sep 2011"
12410,"693.33",2,309,"346.66","Medium Value — Standard Campaign","04 Feb 2011"
13799,"688.86",2,117,"344.43","Medium Value — Standard Campaign","15 Aug 2011"
14222,"683.17",1,177,"683.17","Medium Value — Standard Campaign","15 Jun 2011"
13548,"682.41",2,96,"341.21","Medium Value — Standard Campaign","04 Sep 2011"
15322,"679.68",1,86,"679.68","Medium Value — Standard Campaign","15 Sep 2011"
14212,"678.80",1,90,"678.80","Medium Value — Standard Campaign","11 Sep 2011"
13388,"677.10",2,131,"338.55","Medium Value — Standard Campaign","31 Jul 2011"
13325,"675.30",1,82,"675.30","Medium Value — Standard Campaign","19 Sep 2011"
13355,"674.70",1,122,"674.70","Medium Value — Standard Campaign","09 Aug 2011"
12418,"668.58",1,113,"668.58","Medium Value — Standard Campaign","19 Aug 2011"
13518,"659.44",1,86,"659.44","Medium Value — Standard Campaign","15 Sep 2011"
14894,"655.75",1,85,"655.75","Medium Value — Standard Campaign","15 Sep 2011"
17046,"642.02",1,157,"642.02","Medium Value — Standard Campaign","05 Jul 2011"
12365,"641.38",2,291,"320.69","Medium Value — Standard Campaign","21 Feb 2011"
12624,"641.13",2,106,"320.57","Medium Value — Standard Campaign","25 Aug 2011"
16022,"628.28",1,260,"628.28","Medium Value — Standard Campaign","24 Mar 2011"
14036,"626.65",1,285,"626.65","Medium Value — Standard Campaign","28 Feb 2011"
16718,"623.75",1,369,"623.75","Medium Value — Standard Campaign","05 Dec 2010"
15147,"623.50",1,240,"623.50","Medium Value — Standard Campaign","13 Apr 2011"
13368,"623.40",2,257,"311.70","Medium Value — Standard Campaign","28 Mar 2011"
17499,"622.88",1,290,"622.88","Medium Value — Standard Campaign","23 Feb 2011"
17640,"621.66",1,87,"621.66","Medium Value — Standard Campaign","14 Sep 2011"
13402,"621.23",2,127,"310.62","Medium Value — Standard Campaign","04 Aug 2011"
16141,"620.40",1,88,"620.40","Medium Value — Standard Campaign","12 Sep 2011"
16116,"612.78",1,212,"612.78","Medium Value — Standard Campaign","12 May 2011"
12513,"612.29",1,113,"612.29","Medium Value — Standard Campaign","19 Aug 2011"
16763,"611.85",1,199,"611.85","Medium Value — Standard Campaign","25 May 2011"
13731,"610.59",2,219,"305.29","Medium Value — Standard Campaign","04 May 2011"
15795,"610.01",1,150,"610.01","Medium Value — Standard Campaign","13 Jul 2011"
13357,"609.95",1,257,"609.95","Medium Value — Standard Campaign","27 Mar 2011"
13888,"605.63",2,120,"302.81","Medium Value — Standard Campaign","12 Aug 2011"
13233,"605.12",2,74,"302.56","Medium Value — Standard Campaign","26 Sep 2011"
12707,"603.42",1,292,"603.42","Medium Value — Standard Campaign","21 Feb 2011"
13243,"600.07",1,203,"600.07","Medium Value — Standard Campaign","20 May 2011"
12872,"599.97",2,327,"299.98","Medium Value — Standard Campaign","17 Jan 2011"
12521,"599.68",1,143,"599.68","Medium Value — Standard Campaign","20 Jul 2011"
12917,"594.00",1,128,"594.00","Medium Value — Standard Campaign","03 Aug 2011"
15442,"594.00",1,249,"594.00","Medium Value — Standard Campaign","05 Apr 2011"
13452,"590.00",2,259,"295.00","Medium Value — Standard Campaign","25 Mar 2011"
15222,"585.00",1,319,"585.00","Medium Value — Standard Campaign","25 Jan 2011"
16072,"584.32",1,288,"584.32","Medium Value — Standard Campaign","24 Feb 2011"
12426,"582.73",1,195,"582.73","Medium Value — Standard Campaign","29 May 2011"
17970,"582.59",1,211,"582.59","Medium Value — Standard Campaign","12 May 2011"
17142,"579.00",1,239,"579.00","Medium Value — Standard Campaign","14 Apr 2011"
14301,"575.34",1,117,"575.34","Medium Value — Standard Campaign","14 Aug 2011"
14400,"574.70",1,149,"574.70","Medium Value — Standard Campaign","13 Jul 2011"
15303,"574.02",1,290,"574.02","Medium Value — Standard Campaign","22 Feb 2011"
15415,"572.81",1,313,"572.81","Medium Value — Standard Campaign","30 Jan 2011"
12816,"572.20",2,96,"286.10","Medium Value — Standard Campaign","05 Sep 2011"
13414,"568.50",2,134,"284.25","Medium Value — Standard Campaign","29 Jul 2011"
16278,"566.38",1,100,"566.38","Medium Value — Standard Campaign","31 Aug 2011"
14753,"563.15",1,87,"563.15","Medium Value — Standard Campaign","13 Sep 2011"
12559,"561.71",2,311,"280.86","Medium Value — Standard Campaign","02 Feb 2011"
15655,"560.67",1,243,"560.67","Medium Value — Standard Campaign","10 Apr 2011"
13044,"560.47",1,291,"560.47","Medium Value — Standard Campaign","21 Feb 2011"
16275,"559.87",1,197,"559.87","Medium Value — Standard Campaign","27 May 2011"
12866,"559.12",1,283,"559.12","Medium Value — Standard Campaign","01 Mar 2011"
12987,"558.70",2,74,"279.35","Medium Value — Standard Campaign","27 Sep 2011"
13800,"558.32",1,310,"558.32","Medium Value — Standard Campaign","03 Feb 2011"
12363,"552.00",2,110,"276.00","Medium Value — Standard Campaign","22 Aug 2011"
17291,"550.80",1,308,"550.80","Medium Value — Standard Campaign","04 Feb 2011"
12390,"549.84",1,80,"549.84","Medium Value — Standard Campaign","21 Sep 2011"
14687,"549.18",1,107,"549.18","Medium Value — Standard Campaign","25 Aug 2011"
16340,"549.07",1,107,"549.07","Medium Value — Standard Campaign","24 Aug 2011"
16536,"548.97",1,110,"548.97","Medium Value — Standard Campaign","21 Aug 2011"
16211,"547.02",1,89,"547.02","Medium Value — Standard Campaign","12 Sep 2011"
12743,"546.43",2,134,"273.21","Medium Value — Standard Campaign","28 Jul 2011"
12793,"545.48",2,335,"272.74","Medium Value — Standard Campaign","09 Jan 2011"
13390,"544.08",1,75,"544.08","Medium Value — Standard Campaign","26 Sep 2011"
13874,"540.45",1,358,"540.45","Medium Value — Standard Campaign","16 Dec 2010"
16142,"535.34",1,250,"535.34","Medium Value — Standard Campaign","04 Apr 2011"
12988,"535.32",1,292,"535.32","Medium Value — Standard Campaign","20 Feb 2011"
13385,"534.57",1,330,"534.57","Medium Value — Standard Campaign","14 Jan 2011"
13434,"534.24",2,74,"267.12","Medium Value — Standard Campaign","26 Sep 2011"
15825,"532.94",1,172,"532.94","Medium Value — Standard Campaign","20 Jun 2011"
18159,"530.15",1,301,"530.15","Medium Value — Standard Campaign","11 Feb 2011"
15891,"524.52",1,227,"524.52","Medium Value — Standard Campaign","27 Apr 2011"
15149,"520.80",1,134,"520.80","Medium Value — Standard Campaign","29 Jul 2011"
14873,"519.68",1,210,"519.68","Medium Value — Standard Campaign","13 May 2011"
16135,"517.55",1,263,"517.55","Medium Value — Standard Campaign","22 Mar 2011"
13043,"516.42",1,273,"516.42","Medium Value — Standard Campaign","11 Mar 2011"
13493,"514.95",2,275,"257.48","Medium Value — Standard Campaign","09 Mar 2011"
13005,"513.70",2,174,"256.85","Medium Value — Standard Campaign","19 Jun 2011"
17480,"511.82",1,78,"511.82","Medium Value — Standard Campaign","23 Sep 2011"
12582,"511.36",2,239,"255.68","Medium Value — Standard Campaign","15 Apr 2011"
16698,"510.00",1,253,"510.00","Medium Value — Standard Campaign","31 Mar 2011"
12436,"509.01",1,100,"509.01","Medium Value — Standard Campaign","01 Sep 2011"
15417,"508.80",1,85,"508.80","Medium Value — Standard Campaign","15 Sep 2011"
17958,"508.46",1,117,"508.46","Medium Value — Standard Campaign","15 Aug 2011"
17415,"507.84",1,80,"507.84","Medium Value — Standard Campaign","21 Sep 2011"
13885,"506.80",2,189,"253.40","Medium Value — Standard Campaign","03 Jun 2011"
16614,"506.19",1,183,"506.19","Medium Value — Standard Campaign","10 Jun 2011"
14014,"505.18",1,77,"505.18","Medium Value — Standard Campaign","23 Sep 2011"
13116,"501.14",1,138,"501.14","Medium Value — Standard Campaign","24 Jul 2011"
14000,"500.30",1,211,"500.30","Medium Value — Standard Campaign","12 May 2011"
17053,"498.48",1,131,"498.48","Low Value — Bulk Email Only","01 Aug 2011"
16820,"497.61",1,96,"497.61","Low Value — Bulk Email Only","05 Sep 2011"
15448,"494.64",1,313,"494.64","Low Value — Bulk Email Only","31 Jan 2011"
17333,"494.25",1,86,"494.25","Low Value — Bulk Email Only","15 Sep 2011"
12763,"494.08",2,138,"247.04","Low Value — Bulk Email Only","24 Jul 2011"
14270,"492.65",1,332,"492.65","Low Value — Bulk Email Only","12 Jan 2011"
15507,"492.36",1,172,"492.36","Low Value — Bulk Email Only","21 Jun 2011"
18074,"489.60",1,374,"489.60","Low Value — Bulk Email Only","01 Dec 2010"
12809,"489.31",1,178,"489.31","Low Value — Bulk Email Only","15 Jun 2011"
15165,"487.75",1,373,"487.75","Low Value — Bulk Email Only","01 Dec 2010"
16643,"487.51",1,246,"487.51","Low Value — Bulk Email Only","08 Apr 2011"
13338,"487.02",1,158,"487.02","Low Value — Bulk Email Only","05 Jul 2011"
13675,"486.82",2,151,"243.41","Low Value — Bulk Email Only","11 Jul 2011"
12639,"486.10",1,239,"486.10","Low Value — Bulk Email Only","15 Apr 2011"
15109,"484.95",1,246,"484.95","Low Value — Bulk Email Only","08 Apr 2011"
14130,"483.86",1,319,"483.86","Low Value — Bulk Email Only","24 Jan 2011"
13531,"483.80",2,205,"241.90","Low Value — Bulk Email Only","18 May 2011"
16812,"479.35",1,361,"479.35","Low Value — Bulk Email Only","14 Dec 2010"
12644,"477.91",1,130,"477.91","Low Value — Bulk Email Only","02 Aug 2011"
12447,"476.49",1,243,"476.49","Low Value — Bulk Email Only","10 Apr 2011"
18176,"476.35",1,358,"476.35","Low Value — Bulk Email Only","16 Dec 2010"
14497,"475.37",1,309,"475.37","Low Value — Bulk Email Only","03 Feb 2011"
14431,"470.36",1,303,"470.36","Low Value — Bulk Email Only","10 Feb 2011"
13248,"465.68",2,125,"232.84","Low Value — Bulk Email Only","07 Aug 2011"
16586,"463.95",1,249,"463.95","Low Value — Bulk Email Only","05 Apr 2011"
14489,"463.38",1,207,"463.38","Low Value — Bulk Email Only","16 May 2011"
12945,"462.95",1,288,"462.95","Low Value — Bulk Email Only","24 Feb 2011"
12355,"459.40",1,214,"459.40","Low Value — Bulk Email Only","09 May 2011"
17880,"458.92",1,365,"458.92","Low Value — Bulk Email Only","10 Dec 2010"
13506,"458.52",2,316,"229.26","Low Value — Bulk Email Only","27 Jan 2011"
13398,"457.34",1,192,"457.34","Low Value — Bulk Email Only","31 May 2011"
12564,"456.90",1,261,"456.90","Low Value — Bulk Email Only","23 Mar 2011"
15585,"455.30",1,177,"455.30","Low Value — Bulk Email Only","16 Jun 2011"
16529,"455.25",1,190,"455.25","Low Value — Bulk Email Only","02 Jun 2011"
13485,"454.24",1,233,"454.24","Low Value — Bulk Email Only","20 Apr 2011"
15475,"454.11",1,77,"454.11","Low Value — Bulk Email Only","23 Sep 2011"
12729,"453.01",1,114,"453.01","Low Value — Bulk Email Only","18 Aug 2011"
12591,"452.85",1,317,"452.85","Low Value — Bulk Email Only","26 Jan 2011"
15802,"451.42",1,143,"451.42","Low Value — Bulk Email Only","20 Jul 2011"
17040,"449.73",1,138,"449.73","Low Value — Bulk Email Only","25 Jul 2011"
14149,"446.62",1,221,"446.62","Low Value — Bulk Email Only","03 May 2011"
18222,"443.00",1,93,"443.00","Low Value — Bulk Email Only","08 Sep 2011"
12579,"440.42",1,78,"440.42","Low Value — Bulk Email Only","22 Sep 2011"
18233,"440.00",1,326,"440.00","Low Value — Bulk Email Only","18 Jan 2011"
14022,"440.00",1,225,"440.00","Low Value — Bulk Email Only","28 Apr 2011"
13358,"439.03",1,269,"439.03","Low Value — Bulk Email Only","16 Mar 2011"
12592,"437.60",2,92,"218.80","Low Value — Bulk Email Only","08 Sep 2011"
16084,"436.18",1,299,"436.18","Low Value — Bulk Email Only","13 Feb 2011"
12493,"433.74",2,166,"216.87","Low Value — Bulk Email Only","27 Jun 2011"
16236,"432.20",1,78,"432.20","Low Value — Bulk Email Only","22 Sep 2011"
18106,"430.70",1,330,"430.70","Low Value — Bulk Email Only","14 Jan 2011"
12725,"427.80",1,371,"427.80","Low Value — Bulk Email Only","03 Dec 2010"
12802,"427.58",1,187,"427.58","Low Value — Bulk Email Only","06 Jun 2011"
14288,"426.60",1,213,"426.60","Low Value — Bulk Email Only","10 May 2011"
15639,"425.32",1,134,"425.32","Low Value — Bulk Email Only","28 Jul 2011"
17525,"422.70",1,360,"422.70","Low Value — Bulk Email Only","15 Dec 2010"
14757,"420.50",1,75,"420.50","Low Value — Bulk Email Only","25 Sep 2011"
17701,"417.95",1,253,"417.95","Low Value — Bulk Email Only","01 Apr 2011"
13615,"417.69",1,319,"417.69","Low Value — Bulk Email Only","25 Jan 2011"
12833,"417.38",1,145,"417.38","Low Value — Bulk Email Only","17 Jul 2011"
13166,"417.20",1,283,"417.20","Low Value — Bulk Email Only","01 Mar 2011"
13889,"416.90",1,93,"416.90","Low Value — Bulk Email Only","08 Sep 2011"
13085,"416.08",2,158,"208.04","Low Value — Bulk Email Only","05 Jul 2011"
12930,"415.80",2,78,"207.90","Low Value — Bulk Email Only","22 Sep 2011"
12580,"415.70",1,247,"415.70","Low Value — Bulk Email Only","07 Apr 2011"
16795,"414.88",1,365,"414.88","Low Value — Bulk Email Only","09 Dec 2010"
16834,"413.46",1,228,"413.46","Low Value — Bulk Email Only","26 Apr 2011"
15523,"412.01",1,84,"412.01","Low Value — Bulk Email Only","16 Sep 2011"
16272,"411.70",1,117,"411.70","Low Value — Bulk Email Only","15 Aug 2011"
15099,"410.48",1,84,"410.48","Low Value — Bulk Email Only","16 Sep 2011"
14048,"409.93",1,305,"409.93","Low Value — Bulk Email Only","07 Feb 2011"
14348,"409.57",1,260,"409.57","Low Value — Bulk Email Only","24 Mar 2011"
15225,"409.40",1,234,"409.40","Low Value — Bulk Email Only","19 Apr 2011"
16947,"406.48",1,236,"406.48","Low Value — Bulk Email Only","18 Apr 2011"
15342,"406.09",1,130,"406.09","Low Value — Bulk Email Only","02 Aug 2011"
12922,"405.38",1,161,"405.38","Low Value — Bulk Email Only","01 Jul 2011"
16319,"404.40",1,218,"404.40","Low Value — Bulk Email Only","06 May 2011"
17431,"403.30",1,313,"403.30","Low Value — Bulk Email Only","30 Jan 2011"
15221,"403.25",1,366,"403.25","Low Value — Bulk Email Only","08 Dec 2010"
12386,"401.90",2,338,"200.95","Low Value — Bulk Email Only","06 Jan 2011"
16198,"400.68",1,75,"400.68","Low Value — Bulk Email Only","25 Sep 2011"
12792,"400.54",1,257,"400.54","Low Value — Bulk Email Only","28 Mar 2011"
17486,"396.87",1,261,"396.87","Low Value — Bulk Email Only","23 Mar 2011"
17603,"394.72",1,78,"394.72","Low Value — Bulk Email Only","22 Sep 2011"
14619,"394.44",1,246,"394.44","Low Value — Bulk Email Only","08 Apr 2011"
15386,"394.14",1,186,"394.14","Low Value — Bulk Email Only","06 Jun 2011"
17226,"393.49",1,309,"393.49","Low Value — Bulk Email Only","04 Feb 2011"
14600,"393.33",1,306,"393.33","Low Value — Bulk Email Only","07 Feb 2011"
16917,"391.52",1,277,"391.52","Low Value — Bulk Email Only","08 Mar 2011"
12982,"390.54",1,243,"390.54","Low Value — Bulk Email Only","11 Apr 2011"
13345,"389.50",1,288,"389.50","Low Value — Bulk Email Only","25 Feb 2011"
12690,"389.01",1,206,"389.01","Low Value — Bulk Email Only","18 May 2011"
17438,"388.45",1,254,"388.45","Low Value — Bulk Email Only","31 Mar 2011"
14420,"387.52",1,99,"387.52","Low Value — Bulk Email Only","01 Sep 2011"
17508,"387.31",1,281,"387.31","Low Value — Bulk Email Only","04 Mar 2011"
13821,"385.64",2,145,"192.82","Low Value — Bulk Email Only","18 Jul 2011"
13833,"384.80",1,159,"384.80","Low Value — Bulk Email Only","03 Jul 2011"
12733,"383.95",1,234,"383.95","Low Value — Bulk Email Only","19 Apr 2011"
12515,"383.70",1,353,"383.70","Low Value — Bulk Email Only","21 Dec 2010"
14304,"383.45",1,223,"383.45","Low Value — Bulk Email Only","01 May 2011"
17239,"382.50",1,313,"382.50","Low Value — Bulk Email Only","31 Jan 2011"
15090,"381.32",1,308,"381.32","Low Value — Bulk Email Only","04 Feb 2011"
12871,"380.64",2,84,"190.32","Low Value — Bulk Email Only","16 Sep 2011"
17138,"380.50",1,276,"380.50","Low Value — Bulk Email Only","09 Mar 2011"
16769,"380.39",1,260,"380.39","Low Value — Bulk Email Only","24 Mar 2011"
13656,"379.65",2,165,"189.82","Low Value — Bulk Email Only","28 Jun 2011"
13372,"378.64",1,90,"378.64","Low Value — Bulk Email Only","11 Sep 2011"
13936,"376.58",1,180,"376.58","Low Value — Bulk Email Only","13 Jun 2011"
16858,"375.69",1,369,"375.69","Low Value — Bulk Email Only","06 Dec 2010"
14079,"375.10",1,125,"375.10","Low Value — Bulk Email Only","07 Aug 2011"
16147,"375.00",1,134,"375.00","Low Value — Bulk Email Only","29 Jul 2011"
17492,"374.57",1,248,"374.57","Low Value — Bulk Email Only","05 Apr 2011"
12873,"374.00",1,282,"374.00","Low Value — Bulk Email Only","02 Mar 2011"
16065,"372.09",1,365,"372.09","Low Value — Bulk Email Only","09 Dec 2010"
13300,"371.89",1,169,"371.89","Low Value — Bulk Email Only","23 Jun 2011"
15472,"371.56",1,113,"371.56","Low Value — Bulk Email Only","18 Aug 2011"
15975,"371.01",1,84,"371.01","Low Value — Bulk Email Only","16 Sep 2011"
15063,"370.80",1,213,"370.80","Low Value — Bulk Email Only","10 May 2011"
15922,"369.50",1,373,"369.50","Low Value — Bulk Email Only","01 Dec 2010"
14888,"369.20",1,207,"369.20","Low Value — Bulk Email Only","16 May 2011"
